Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
12/27/2021,-1.279154723565334,-0.6209067799632018,-2.740081088171287,-1.2418206227778699,-0.3334643768827619,0.5488365461612978,-0.41584099462888763,-0.7413055459237994,3.3456268216778247,11.560548627900985,4.367604692704686,5.027938412922675,-1.4026119671843058,2.359389043987746,-2.1818744282928186,1.4999702045130907,-3.8032624805133435,3.2212141165007737,3.599264313484999,0.38507598316626473,4.241131445266253,6.49100983725374,-11.73114421087383,-5.86157554003124,5.656772537416759
12/28/2021,-0.7263449105311678,-0.047530662418131094,3.9667835418666315,0.2720985920846404,0.6903141349143395,2.266358378514984,0.25565963979484524,0.32982278569371853,11.822615446328578,11.863105634699007,4.471478935397792,6.778166596500418,-0.7979306912067514,2.291518279780439,-1.370194863481064,1.6666675831104543,-2.2350526650404703,3.887746483882652,2.9881242645284747,0.8530970880676496,4.786136138158043,5.811656866903137,-13.061474629143738,-4.391125341788104,10.747015679549984
12/29/2021,3.8527521643738143,2.8318297064260536,9.680300430737217,1.599247968463803,3.0306825605113454,5.2099189327814175,2.3030450642264158,2.1472515499269824,15.872623221154306,11.863419696318125,4.738497421648894,9.845133250734012,0.012568995199708433,3.1980479225535587,0.016169825668122514,0.6210601882120361,0.7788406896647824,5.317247910148333,3.1811977885330993,2.9778793971081976,4.890556547614543,6.227541973119392,-6.790543014738476,0.05238224348812043,15.035090826650443
12/30/2021,3.6820291254150375,1.9783425036714604,2.7014998172230498,0.30032513228907276,1.6177336110823641,3.789280861553354,0.8495198590034362,2.4623293876747323,13.693759219185267,4.195208932132802,3.452446068923102,7.586315695659553,0.18284569670415943,3.787319599806259,0.8312059381818112,0.34632775602919663,1.407122980788502,6.042925220748232,3.3976294820889574,2.0656076599059374,3.0516452705045096,4.477900695802088,-7.778321686541231,-0.49600823353048074,7.5329731279940955
12/31/2021,3.3602130208179393,1.9238978897392591,1.255633040813765,-0.8513816314095436,0.6902244301972363,1.8062563916711218,0.06048371223163677,0.8201265063173967,12.096531028120454,0.19246467478371876,2.6148123924984765,6.9783468400233595,-0.5959077863002146,1.9678374343438567,-1.1151523782749369,0.08131669682901219,1.8401722801050755,3.558499289142892,2.3331429683226226,1.4560931899641578,1.8313613257736987,3.5221718858886786,-0.2352533387249767,-0.23560696625792354,3.07071954816634
01/03/2022,5.1450515185200025,3.8844814168351984,4.72636422165317,-0.17933539346094637,2.2501662289638418,1.7743249129198484,1.6749171288977804,2.2740100770108085,14.27447996313799,2.3505573343086947,3.00150009733123,6.333414610448061,0.8551635498106136,2.961995539359412,0.9919852883927908,1.557141288162076,5.2228148381169595,3.336155296641796,2.2443042000770044,2.718126516215792,0.6068963374673825,4.270521295764721,2.077993152787713,1.883402539689873,5.036854241614304
01/04/2022,4.280338534145929,6.670808922536504,9.417782095368464,1.0164228696175197,3.012673791348601,3.960577629473199,2.189065370357004,5.587239698413885,28.76071208040306,2.0948007050184083,3.715617631759459,4.856898833409341,5.09232105181811,5.386070834943583,6.484087137176593,1.6832849906086447,6.488386048487593,7.62180722818004,2.4727781287503072,3.2938671114855365,0.554641125263427,3.6938589162063127,2.4982511798159757,1.4677561874399674,9.158142431908958
01/05/2022,2.129632383197437,5.766535975319559,4.062199898254946,0.4118998263106361,2.050135725075176,2.305417424036093,1.3962018472578566,4.896686221047233,27.685393015007847,1.318083200332371,2.4124786224556454,3.636663308575959,6.577644111686502,5.176776317895967,8.214285103246175,2.6370921666388742,5.765764194719273,9.06605625330283,3.6927685769126772,3.9205321020300223,1.316397359180715,3.8771616520213534,0.6985794208336602,0.40340274735991494,4.816735746359143
01/06/2022,-2.625268051682901,1.9539677477924389,-1.8188380443789707,-2.662458703205143,-2.5486302013753845,-0.4782976499112611,-3.2425648068712696,6.413082267084006,14.124732552927627,-0.04155592436510485,0.5441479904904944,1.2958801198368497,6.336853375839703,2.865129428050857,10.507667544638073,3.2307287889750373,4.639132534225463,7.063248634357818,3.7462505565834023,2.295835915902313,3.5467104402501297,4.112667045674296,-5.765510284371627,-7.5947347680922785,-2.0086443072211413
01/07/2022,-5.818092674244523,-1.4710916113626582,-6.701965965076995,-4.497771425146145,-6.174845302406172,-0.47215676535239126,-6.45429116157672,4.967565468081361,1.8333362958615957,-4.64802805308544,-4.409863371505661,-3.299516809990987,4.713428481969734,0.9927856161874873,10.346794922974572,2.078441183404376,2.2191180263870307,3.240553606484238,2.32550784556387,-0.27542662748491764,3.8773473091027655,2.211026859002915,-9.152298832092187,-8.561500176658395,-7.88746040397261
